Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
Which statement describes the theory of the social contract?,MCQ,Society is not natural but created by the people,People must accept society as it is since it was naturally created,"The people do not control society, but society controls the people",Society was created by God,The social contract acknowledges that the people are in relationship with the government and there are obligations the citizens have to a society.
What are social contracts based on?,MCQ,Human nature and natural rights,Ordinary rights and government rights,Direct and represenative democracies,Nature and God,"The social contract recognizes both human nature and natural rights and when constructed, natural rights are a central part because they are too important to our individual lives."
"Which Constitutional principle, suggested by Montesquieu, lessens the potential harm of the national government over the people?",MCQ,A bicameral legislature,Civil society,Natural rights,Separation of powers,The Constitutional principle of bicameralism was meant to counterbalance the power of factions over the government by making each chamber of Congress obligated to different social groups.
"Which Constitutional system, suggested by Montesquieu, balances the national government and allows each branch of government to limit the power of the other two branches?",MCQ,Checks and balances,A bicameral legislature,Separation of powers,Natural rights,The Constitutional system of checks and balances is meant to prevent any one branch of government from gaining complete power and control over the government by allowing each branch to monitor and influence what happens in other branches of government.
Which of the following protects Locke's idea of natural rights and provides Montesquieu's protections known as due process of law?,MCQ,The Bill of Rights,The Articles of Confederation,The Delcaration of Independence,The Constitution,This addition to the Constitution focuses on protecting the liberties or freedoms by protecting such rights as freedom of speech and providing due process of law when citizens must interact with the government over legal matters.
What was designed to check factional power against factional power?,MCQ,The Constitution,The Delcaration of Independence,The Bill of Rights,The social contract,Checking factional power against factional power was a key consideration at the time of the drafting of the Constitution. The framers drew upon Montesquieu's principles in an effort to offset factions.
What is the Enlightenment? Choose 2 answers.,SelectAll,"The source of people's ideas about natural rights,A period of Western European history following the Middle Ages",Where democratic government was invented,A revival of Roman Catholicism,,"""The source of people's ideas about natural rights"" is correct. The Enlightenment, which took place after the Middle Ages, 1650-1800, occurred mainly in Great Britain, France, and Germany and its philosophy produced the idea of natural rights.
""Where democratic government was invented"" is incorrect. The Enlightenment, which took place after the Middle Ages, 1650-1800, actually occurred mainly in Great Britain, France, and Germany and its philosophy produced the idea of natural rights."
Why did the Enlightenment influence American politics and government? Choose 3 answers.,SelectAll,"Those immigrating to the American colonies were attracted to the Enlightenment's ideas of liberty and property,Ideas of the Enlightenment framed the colonists' responses to British violations of natural rights,The colonists had a long history of self-government, consistent with the Enlightenment's ideas about government by consent",The colonists were attracted to the idea of the divine right of kings.,,,
How do conflicting ideas of the Enlightenment influence American government and politics? Choose 2 answers.,SelectAll,"The Constitution sets up a system of government that is not favorable to the democratic expression of the popular will,The protection of private property can interfere with the government's charge concerning important social needs.",The conflict between popular government and the separation of powers creates an ideal balance of interests.,,The conflict among ideas leads to an increasingly undemocratic system of government.,"""The Constitution sets up a system of government that is not favorable to the democratic expression of the popular will"" is correct. The separation of powers in the Constitution works to undermine popular democratic input and control, but even when dealing with important social needs, protection of private property limits the government's actions.
""The protection of private property can interfere with the government's charge concerning important social needs"" is correct. The separation of powers in the Constitution works to undermine popular democratic input and control, but even when dealing with important social needs, protection of private property limits the government's actions."
Which ideas are contained in the Declaration of Independence? Choose 2 answers.,SelectAll,"The natural rights of life -- liberty -- and the pursuit of happiness,The idea that governments are created by people to protect their natural rights",The ideas of Thomas Hobbes,The purpose of government is to secure justice for all people,,"""The natural rights of life, liberty, and pursuit of happiness"" is correct. The Declaration specifically mentions life, liberty, and the pursuit of happiness as well as the idea that people have the right to create or abolish governments if their natural rights are at risk.
""The idea that governments are created by people to protect their natural rights"" is correct. The Declaration specifically mentions life, liberty, and the pursuit of happiness as well as the idea that people have the right to create or abolish governments if their natural rights are at risk."
How does the Constitution differ from the Declaration of Independence? Choose 2 answers.,SelectAll,"The Constitution is more concerned with controlling rather than expressing the popular will,The Constitution makes justice more important than liberty",The Constitution elevates the rights of property,The Constitution expands the list of natural rights,,"""The Constitution is more concerned with controlling rather than expressing the popular will"" is correct. While the Declaration emphasized liberty and expressing the popular will, the Constitution was designed to control popular will and support justice.
""The Constitution makes justice more important than liberty"" is correct. While the Declaration emphasized liberty and expressing the popular will, the Constitution was designed to control popular will and support justice."
Which types of rights are contained in the Bill of Rights? Choose 2 answers.,SelectAll,"Natural rights,Procedural rights",Objective rights,Consensus rights,,"""Natural rights"" is correct. The Bill of Rights contains both natural rights and procedural rights.
""Procedural rights"" is correct. The Bill of Rights contains both natural rights and procedural rights."
"The Constitution's first three articles create separate legislative, executive, and judicial branches.
What is this consistent with?",MCQ,Montesquieu's theory about the separation of political power.,John Locke's views about the nature of liberty and how it fits into the social contract,The framers' overall distrust in government,Jean Jacques Rousseau's belief that those without property would attempt to take it from those who do have it,"Yes, the first three articles divide government power, consistent with Montesquieu’s theory"
What does the Constitution's disregard of liberty and lack of protections for natural rights suggest about the framers?,MCQ,The framers were more interested in the practicalities of government.,The framers was hostile towards the interests of individuals.,The framers feared that disgruntled Anti-Federalists would rebel against the new national government.,The framers worried that expressing certain rights would serve to legitimize the institution of slavery.,The Framers were interested in creating a national government that worked.
How is a unicameral congress different from a bicameral congress?,MCQ,"A unicameral congress has one chamber, while a bicameral congress has two.",A unicameral congress does not have the power to make treaties with foreign countries but a bicameral congress has treaty-making power.,"A unicameral congress is structured to limit states' power, while a bicameral congress is structured to expand states' powers.","A unicameral congress has very limited powers and authority, while a bicameral congress has more power and authority.","Under the Articles of Confederation there was a unicameral congress, which consisted of one chamber known as the Confederation. Today, congress is bicameral and consists of two chambers -- the House of Representatives and the Senate."
What was the basis of representation in Congress under the Articles of Confederation?,MCQ,Each state had one vote in Congress.,Each state was allowed only two members.,States had equal representation in the upper house and representation based on population in the lower house.,States were given representation based on population.,All the states were considered to be equal.
Why were the powers of the national government severely limited under the Articles of Confederation?,MCQ,To prevent the national government from becoming too powerful or abusing the rights of individual citizens and states,To give the national government a layer of protection against the desires of the citizens,To prevent the states from feeling alienated from the national government,To create a government that could only have the ability to function for a limited amount of time,This was a concern when creating the Articles of Confederation as the U.S. government did not want to create a government similar to the oppressive British government they had just declared independence from.
