Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
Which Supreme Court case held that abortion is a fundamental right under the United States Constitution?,MCQ,Roe v. Wade,Griswold v. Connecticut,Gibbons v. Ogden,Gonzales v. Carhart,"In the 1973 Roe v. Wade decision, the Court ruled 7–2 that abortion is a fundamental right under the United States Constitution. The Court held that state laws criminalizing abortion violate a right to privacy that is implied by the Due Process Clause of the 14th Amendment. The ruling also established a balance between a woman’s privacy and the state’s obligation to protect the woman and the potentiality of human life by granting states with the power to regulate pregnancies in the third trimester."
Which Supreme Court case established the basis for the exercise of judicial review under Article III of the Constitution?,MCQ,Marbury v. Madison,Fletcher v. Peck,Gibbons v. Ogden,McCulloch v. Maryland,Marbury v. Madison was a unanimous decision issued by the Supreme Court in 1803. The Court held that Congress cannot pass laws that oppose declarations in the Constitution. It also decided that it is the role of the judicial system to interpret the scope of the Constitution. This established the principle of judicial review.
Which Supreme Court case held that state laws establishing separate public schools for black and white students were unconstitutional?,MCQ,Brown v. Board of Education,Dred Scott v. Sandford,Tinker v. Des Moines Independent School District,Plessy v. Ferguson,"Brown v. Board of Education was a unanimous ruling issued in 1954. It overturned Plessy v. Ferguson, which had upheld state segregation laws for public facilities under the “separate but equal” doctrine. The Brown v. Board decision concluded that “separate educational facilities are inherently unequal,” and the Court held that segregation of students in public schools violates the Equal Protection Clause of the 14th Amendment."
Which Supreme Court case upheld the individual health insurance mandate included in the Affordable Care Act?,MCQ,National Federation of Independent Business v. Sebelius,McDonnell v. United States,Zubik v. Burwell,Citizens United v. Federal Election Commission,"NFIB v. Sebelius was a 5–4 decision issued in 2012. The Court upheld Congress's power to enact most provisions of the Patient Protection and Affordable Care Act, also known as Obamacare. The Court decided that the financial penalty for not obtaining health insurance may reasonably be characterized as a tax. Accordingly, this individual mandate was held to be a constitutional exercise of Congress's power to tax."
Which Supreme Court case held that religious duty is not a legitimate defense to a criminal indictment?,MCQ,Reynolds v. United States,Gideon v. Wainwright,Abington School District v. Schempp,McCreary County v. American Civil Liberties Union,"George Reynolds was a member of the LDS Church and who, after marrying his second wife while still married to his first wife, was charged with bigamy as per the Morrill Anti-Bigamy Act. In the unanimous 1878 Reynolds v. United States ruling, the Supreme Court held that religious duty is not a defense for criminal indictment."
Which Supreme Court case established that the Constitution grants implied powers to Congress which can be used to implement the Constitution's express powers?,MCQ,McCulloch v. Maryland,Texas v. Johnson,Gibbons v. Ogden,Cohens v. Virginia,"In 1816 Congress chartered the Second Bank of the United States, and in 1818 Maryland passed legislation to impose taxes on this bank. McCulloch v. Maryland was decided unanimously by the Court in 1819, and established two important principles in constitutional law: (1) The Constitution grants implied powers to Congress for implementing the Constitution's express powers. These implied powers are an integral component of a functional national government. As a result, Congress has the power to establish a bank as an instrument of the government in order to facilitate the collection and disbursement of revenue. (2) Federal laws have supremacy over state laws; consequently, Maryland did not have the power to interfere with a federal bank by taxing it."
"Which Supreme Court case reaffirmed that obscene material is not protected by the First Amendment, and also redefined the Constitutional test for determining what constitutes obscene material?",MCQ,Roth v. United States,Hustler Magazine v. Falwell,Chaplinsky v. New Hampshire,Reynolds v. United States,"Roth v. United States was a 6–3 ruling made in 1957. The Court reaffirmed that obscenity was not protected by the First Amendment and went on to define obscenity more strictly, working from the metric of the “average person, applying contemporary community standards.”"
Which Supreme Court case invalidated a state law prohibiting the use of contraceptives on the grounds that the law violated the right to marital privacy?,MCQ,Griswold v. Connecticut,Washington v. Glucksberg,Roe v. Wade,Roe v. Wade,"Griswold v. Connecticut was a 7–2 decision issued in 1965. The Court invoked a right to marital privacy in order to overturn a Connecticut law that prohibited contraceptives. While the Bill of Rights doesn't explicitly mention privacy, the Court held that this right could be found in the “penumbras” and “emanations” of other constitutional protections. Later decisions by the Court, including Roe v. Wade, extended these principles of privacy."
"Which Supreme Court case established that evidence obtained through unreasonable searches and seizures, in violation of the Fourth Amendment, may not be used in state courts for state law criminal prosecutions?",MCQ,Mapp v. Ohio,Gideon v. Wainwright,Katz v. United States,Miranda v. Arizona,"Mapp v. Ohio was decided in 1961 in a 6–3 ruling. Based on the exclusionary rule, the evidence obtained in violation of Mapp’s rights could not be used in a federal prosecution. In this case, the Court held that the exclusionary rule, through a principle known as selective incorporation, also applies to the states. Selective incorporation interprets the Fourteenth Amendment to “incorporate” most portions of the Bill of Rights."
Which Supreme Court case held that the government cannot restrict independent political expenditures by corporations?,MCQ,Citizens United v. Federal Election Commission,New York Times Co. v. Sullivan,Schenck v. United States,Buckley v. Valeo,"Citizens United v. FEC was a 5–4 ruling issued in 2010. The dispute involved a conservative non-profit corporation interested in broadcasting a film critical of Hillary Clinton. Doing so violated the Bipartisan Campaign Reform Act, which prohibited such corporate or union expenditures. The Court held that, “If the First Amendment has any force, it prohibits Congress from fining or jailing citizens, or associations of citizens, for simply engaging in political speech.” The ruling enabled unlimited election spending by corporations and by groups known as super PACs."
Which Supreme Court case held that the act of burning a flag is protected “speech” under the First Amendment?,MCQ,Texas v. Johnson,Cohen v. California,Griswold v. Connecticut,Chaplinsky v. New Hampshire,Texas v. Johnson was a 5–4 ruling issued in 1989. The Court held that Johnson's burning of the flag constituted expressive conduct and permitted him to invoke the First Amendment in defense. This decision invalidated the laws against desecrating the American flag that were in place in 48 of the 50 states.
Which Supreme Court case held that the President cannot use executive privilege to withhold evidence that is relevant in a criminal trial?,MCQ,United States v. Nixon,Clinton v. Jones,Bush v. Gore,Rasul v. Bush,United States v. Nixon was a 1974 decision that resulted in an 8–0 ruling against President Richard Nixon. Nixon was attempting to use executive privilege to withhold evidence during the Watergate scandal. The Court held that no person is above the law and that executive privilege cannot be used to withhold evidence that is demonstrably relevant in a criminal trial.
"Which Supreme Court case held that the government, through the use of eminent domain, can claim and pass on privately owned land to another private owner if doing so results in economic development?",MCQ,Kelo v. City of New London,"Sony Corp. of America v. Universal City Studios, Inc.",Village of Euclid v. Ambler Realty Co.,Lochner v. New York,"Kelo v. City of New London was decided in 2005 in a 5–4 ruling. The Supreme Court held that the benefits that a community accrues from economic growth, including job creation, increased tax revenues, etc., make private redevelopment an allowable ""public use"" as per the Takings Clause of the Fifth Amendment."
"Which Supreme Court case upheld the constitutionality of Executive Order 9066, which ordered Japanese Americans into internment camps during World War II?",MCQ,Korematsu v. United States,Schenck v. United States,Dred Scott v. Sandford,Cohen v. California,Korematsu v. United States was a 6–3 ruling issued in 1944. The Court held that the need to protect against espionage outweighed the individual rights of Americans of Japanese descent.
Which Supreme Court case held that a narrowly tailored use of race in student admission decisions is permissible in order to obtain the educational benefits that flow from a diverse student body?,MCQ,Grutter v. Bollinger,Plessy v. Ferguson,Griswold v. Connecticut,Loving v. Virginia,"Grutter v. Bollinger was a 5–4 decision issued in 2003. The case involved the University of Michigan Law School admissions program, which gave special consideration to certain minority groups when considering university acceptance. The Court held that this affirmative action policy did not violate the 14th Amendment because the law school had a compelling interest in promoting class diversity."
Which Supreme Court case held that it is unconstitutional for state officials to write an official school prayer and to encourage students to recite it?,MCQ,Engel v. Vitale,Reynolds v. United States,West Virginia State Board of Education v. Barnette,Lemon v. Kurtzman,"Engel v. Vitale was a 6–1 ruling issued in 1962. The Supreme Court ruled that government-written prayers could not be recited in public schools because such prayers violated the Establishment Clause of the First Amendment. The Court held that the promotion of a religion violates the First Amendment, even if the promotion is not coercive."
Which Supreme Court case defined the First Amendment rights of public school students?,MCQ,Tinker v. Des Moines Independent School District,Kitzmiller v. Dover Area School District,Everson v. Board of Education,Abington School District v. Schempp,"Tinker v. Des Moines Independent School District was a 7–2 decision issued in 1969. The Tinkers were public school students who wore black armbands to school to protest the Vietnam War. School policy disallowed such apparel, but the Supreme Court overturned this policy. The Court held that the First Amendment applies to public schools, and that if the school administration wishes to suppress free speech, they must demonstrate that the speech in question will “materially and substantially interfere” with the operation of the school."
