Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
What was the main point of Obergefell v. Hodges?,MCQ,The main point was that same-sex marriages had to be recognized as valid by all the states.,The main point was that religious beliefs always have a higher priority than the equal protection of citizens.,The main point was that businesses could not be forced to serve customers that they disliked.,The main point was that polygamy was illegal.,The case made it clear that all the states had to recognize same-sex marriages and issue licenses to couples seeking one.
How does the Court determine if a discriminatory practice is allowed to continue? Choose 2 answers.,SelectAll,"The Court uses the rational basis test.,The Court uses intermediate scrutiny.",The Court never allows a discriminatory practice to continue because it is a violation of the Equal Protection Clause.,,,"""The Court uses the rational basis test."" is correct. The Court determines if a discriminatory practice is allowed to continue by using the rational basis test and intermediate scrutiny.
""The Court uses intermediate scrutiny."" is correct. The Court determines if a discriminatory practice is allowed to continue by using the rational basis test and intermediate scrutiny."
What of these are some of Jim Crow laws used to disenfranchise Black people? Choose 3 answers.,SelectAll,"Grandfather clauses,Literacy tests,Poll taxes",Rational basis tests,,,"""Grandfather clauses"" is correct. Jim Crow laws like those requiring literacy tests and poll taxes, as well as various grandfather clauses, were attempts to disenfranchise Black people.
""Literacy tests"" is correct. Jim Crow laws like those requiring literacy tests and poll taxes, as well as various grandfather clauses, were attempts to disenfranchise Black people.
""Poll taxes"" is correct. Jim Crow laws like those requiring literacy tests and poll taxes, as well as various grandfather clauses, were attempts to disenfranchise Black people."
Which arguments did the Supreme Court accept in United States v. Windsor about the rights of same-sex married couples? Choose 3 answers.,SelectAll,"The Defense of Marriage Act (DOMA) denied the rights of same-sex married couples by refusing to recognize same-sex marriages in the way it recognized heterosexual marriages.,Treating certain married couples differently is a violation of equal protection under the Constitution.,The Defense of Marriage Act (DOMA) protected the inheritance rights of some married couples while denying the inheritance rights of other married couples.",The Defense of Marriage Act (DOMA) did not discriminate against same-sex married couples because marriage is only between a man and a woman.,,,
How did the Supreme Court case Obergefell v. Hodges (2015) expand the rights of same-sex couples? Choose 3 answers.,SelectAll,"The Court ruled that same-sex couples had a right to be issued marriage licenses in states that issued them to other types of couples.,The Court ruled that due to the 14th Amendment's Equal Protection Clause, states had to recognize the same-sex marriages of other states.,The Court's ruling effectively overturned the use of the Defense of Marriage Act (DOMA) by the individual states.",The Court's ruling ended segregation of same-sex couples in religious institutions.,,,
Which statements are true concerning the Federal Election Campaign Act? Choose 2 answers.,SelectAll,"The act requires candidates to report who donates to their campaigns,The act limits the amount of individual contributions to a campaign",The act provides for the public financing of congressional elections,The act limits the amount of money a candidate can spend compared to their challengers,,"""The act requires candidates to report who donates to their campaigns"" is correct. The Federal Election Campaign Act requires candidates to disclose their donors and it also limits the amounts individuals can contribute to a campaign.
""The act limits the amount of individual contributions to a campaign"" is correct. The Federal Election Campaign Act requires candidates to disclose their donors and it also limits the amounts individuals can contribute to a campaign."
How has the cost of political campaigns for Congress changed?,MCQ,"Costs have rapidly increased, making campaigns more expensive.",Costs have remained proportional to the increased population.,"The costs have slowly increased, more or less in keeping with inflation.",Costs have decreased over time.,"John Boehner spent $17 million to retain his seat in the House of Representatives, an example of how substantially costs increased from 1986 to 2014."
Which statement about campaign funding is true?,MCQ,Money PACs contribute to campaigns has increased.,Those running against incumbents usually attract a lot of funding.,Political parties control most of the available finances.,Individual contributions are no longer important.,PACs have increased their contributions even with the limitations that are present.
The goal of a presidential candidate is to win the majority of the _____.,MCQ,electoral vote,states,popular vote,congressional districts,
Which statements are true regarding the process for nominating a presidential candidate in recent decades? Choose 2 answers.,SelectAll,"The process for nominating a presidential candidate has shifted the power for nominating candidates to state party primary elections.,The process for nominating a presidential candidate has brought about a longer nomination process.",The process for nominating a presidential candidate has resulted in the nomination of more party insiders.,The process for nominating a presidential candidate has become increasingly controlled by party elites.,,"""The process for nominating a presidential candidate has shifted the power for nominating candidates to state party primary elections."" is correct. In recent decades, the process for nominating a presidential candidate has included more power for state primaries and a longer timeline for the process. It has not included greater control by party elites or more insiders, however.
""The process for nominating a presidential candidate has brought about a longer nomination process."" is correct. In recent decades, the process for nominating a presidential candidate has included more power for state primaries and a longer timeline for the process. It has not included greater control by party elites or more insiders, however."
Which arguments are often expressed by critics of the Electoral College? Choose 3 answers.,SelectAll,"The Electoral College negates the one-person, one-vote expectation.,The Electoral College undermines majority rule.,The Electoral College lessens political participation in ""safe"" states.",The Electoral College favors strong regional candidates over weaker national candidates.,,,
