Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
How do most states award votes in the Electoral College?,MCQ,The candidate who wins the popular vote in the state gets all the electoral votes for the state.,Candidates get one electoral vote for each congressional district where they win the popular vote. ,The candidate who wins the popular vote nationwide gets all the electoral votes for the state.,Candidates get electoral votes in proportion to their share of the statewide popular vote.,
Which amendment provided for the separate election of the president and vice president?,MCQ,The Twelfth Amendment,The Eleventh Amendment,The Thirteenth Amendment,The Fourteenth Amendment,
What is a characteristic of an open primary system?,MCQ,Voters registered with any political party are allowed to vote for candidates in any party during the primary.,Any resident in the district is allowed to run as a candidate for any party during the primary.,Candidates from every political party compete against each other until two are selected for a general election.,Voters are required to meet together to publicly declare their support for a primary candidate.,
What was the purpose of creating the Federal Election Commission in the 1970s?,MCQ,To ensure transparency in campaign financing ,To manage the operation of polling stations,To limit the influence of negative campaigning ,To regulate the influence of super PACs,
Who can vote for a United States representative?,MCQ,Any voter in the representative’s congressional district,Any voter in the United States,Any voter registered in the representative’s party,Any voter in the representative’s stat,
What was determined in U.S. v. Windsor and Obergefell v. Hodges?,MCQ,They declared DOMA unconstitutional and legalized same-sex marriage nationwide.,They declared that spending money in an election was essentially equivalent to free speech.,They required the registration of lobbyists representing any interest group under certain circumstances.,They removed any restrictive limits to how much money unions or corporations can donate to Super PACs.,
How do Super PACs operate?,MCQ,They cannot give money directly to individual candidates.,"They are allowed to give up to $15,000 per year to any national party.","They can give no more than $5000 per candidate, per election.",They collect money to donate to or against candidates or issues.,
In which case did the Supreme Court establish that spending on political campaigns constituted political speech that is protected by the First Amendment?,MCQ,Buckley v. Valeo,Breedlove v. Suttles,Citizens United v. Federal Election Commission,Shelby County v. Holder,
What was required by states under the 1993 National Voter Registration Act?,MCQ,It required states to allow citizens to register to vote when they sign up for driver’s licenses.,It required states to demand proof of citizenship before allowing individuals to register to vote.,It required states to allow individuals to register to vote at the same time they go to vote.,It required states to allow driver’s licenses as identification for those registering to vote. ,
A voter casts a ballot for a candidate based solely on the candidate’s previous vote on a tax cut. Which type of voting decision is demonstrated in this situation?,MCQ,Retrospective,Inspective,Introspective,Prospective,
What is one method used by Southern states to restrict African American voting during the early 1960s?,MCQ,Literacy tests,Property ownership requirements,Godfather clauses,Voter identification laws,
