Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
"An individual has been arrested on the suspicion of murdering a highly respected member of the community. The Sixth Amendment allows for several things that protect their right to a fair trial.
What are those Sixth Amendment protections? Choose 3 answers.",SelectAll,"The exclusion of potential jurors who may be biased against the suspect,A notice of what criminal act the suspect is alleged to have committed,The cross-examination of witnesses who have said the suspect committed the crime",A change of venue (location) if the pre-trial publicity affects the suspect's chance of a fair trial,,,
"The Eighth Amendment’s provisions for bail imply several protections.
Which two implications are valid under the Eighth Amendment? Choose 2 answers.",SelectAll,"You are innocent until proven guilty,Your freedom is important for preparing your defense",You are an ongoing threat to your community.,You are a flight risk.,,
When are police able to conduct a search without a warrant? Choose 3 answers.,SelectAll,"When the items of interest are in plain view,When there is a concern that the items of interest will disappear during the time a warrant is obtained,When the police use a drug-sniffing dog.",When the items of interest are in the trunk of your car.,,,
What are your rights under the Sixth Amendment? Choose 2 answers.,SelectAll,"To be informed of accusations against you,To have witnesses testify on your behalf",To be protected from unreasonable searches and seizures,To remain silent when questioned by law enforcement,,
"The Supreme Court has held that the death penalty is allowable under the Constitution under certain circumstances.
What are those circumstances? Choose 3 answers.",SelectAll,"The death penalty is a punishment proportionate to the crime,The death penalty is not administered in a way that involves unnecessary or prolonged suffering,The use of mandatory death sentences for certain crimes violates the Eighth Amendment",The death penalty is uniformly applied to similar cases,,,
When was the individual constitutional right to possess firearms for self-defense first recognized?,MCQ,"In 2008, when the Supreme Court ruled that the District of Columbia's prohibition on gun ownership was a violation of the Second Amendment","In the 1930s, as the rise of violence associated with organized crime demanded a need for individual self-defense","During colonial settlement, when firearms were necessary for hunting and self-defense","During World War I, when it became apparent that state militias could not be relied upon for foreign wars","The Supreme Court, in District of Columbia v. Heller (2008), declared there to be an individual right to bear arms."
Which statements are accurate with respect to the quartering of troops in private residences by the U.S. government? Choose 2 answers.,SelectAll,"Quartering of troops is allowed during peacetime, with the consent of the owner,Quartering of troops is acceptable during times of war, provided it is allowed by law","Quartering of troops is mandatory when so directed by the president, acting as Commander-in-chief.",Quartering of troops prohibited outright.,,"""Quartering of troops is allowed during peacetime, with the consent of the owner."" is correct. It is lawful to quarter troops in private residences in peacetime if the owner agrees, and in wartime, if the law allows it. The president, who is also the Commander-in-chief, cannot command this action.
""Quartering of troops is acceptable during times of war, provided it is allowed by law."" is correct. It is lawful to quarter troops in private residences in peacetime if the owner agrees, and in wartime, if the law allows it. The president, who is also the Commander-in-chief, cannot command this action."
"Under the rules of common law, how are decisions made in court? Choose 2 answers.",SelectAll,"A judge is responsible for interpreting and applying the law,A jury is responsible for determining matters of fact",An appellate court can reconsider the determination of fact made by the jury.,A trial court judge is required to accept a jury's decision in all cases.,,"""A judge is responsible for interpreting and applying the law."" is correct. According to common law, a judge interprets and applies the law, while a jury determines the facts. However, judges are not always required to accept a jury's decision, and appellate courts are not allowed to change a jury's determination of facts.
""A jury is responsible for determining matters of fact."" is correct. According to common law, a judge interprets and applies the law, while a jury determines the facts. However, judges are not always required to accept a jury's decision, and appellate courts are not allowed to change a jury's determination of facts."
"According to the Supreme Court, when is it legal to take private property for public use? Choose all that apply.",SelectAll,"For the building of roads,For the creation of public parks,For the creation of jobs,For the enhancement of government revenues (e.g., taxes).",,,,"""For the building of roads"" is correct. ALL of these choices are examples of legally taking private property for public use.
""For the creation of public parks"" is correct. ALL of these choices are examples of legally taking private property for public use.
""For the creation of jobs"" is correct. ALL of these choices are examples of legally taking private property for public use.
""For the enhancement of government revenues (e.g., taxes)."" is correct. ALL of these choices are examples of legally taking private property for public use."
Which Supreme Court case resulted in the decision that states may not interfere with gun ownership relative to self-defense?,MCQ,McDonald v. City of Chicago,Tinker v. Des Moines,Miller v. California,Marbury v. Madison,This case did establish that states may not pass laws that prohibit gun ownership.
